country,shortnam,africa,latitude,euro1900,avexpr,logpgp95,logem4
Angola,AGO,1,0.1366666704416275,0,5.363636493682861,7.7706451416015625,5.63478946685791
Argentina,ARG,0,0.3777777850627899,90,6.386363506317139,9.133459091186523,4.2626800537109375
Australia,AUS,0,0.30000001192092896,99,9.318181991577148,9.897972106933594,2.1459312438964844
Burkina Faso,BFA,1,0.14444445073604584,0,4.454545497894287,6.845880031585693,5.63478946685791
Bangladesh,BGD,0,0.2666666805744171,0,5.136363506317139,6.877295970916748,4.26843786239624
Bahamas,BHS,0,0.2683333158493042,10,7.5,9.28544807434082,4.442651271820068
Bolivia,BOL,0,0.18888889253139496,30.000001907348633,5.636363506317139,7.926602363586426,4.2626800537109375
Brazil,BRA,0,0.1111111119389534,55,7.909090995788574,8.72745418548584,4.2626800537109375
Canada,CAN,0,0.6666666865348816,98,9.727272987365723,9.986449241638184,2.7788193225860596
Chile,CHL,0,0.3333333432674408,50,7.818181991577148,9.336091995239258,4.2626800537109375
Cote d'Ivoire,CIV,1,0.08888889104127884,0,7,7.444248676300049,6.18001651763916
Cameroon,CMR,1,0.06666667014360428,0,6.454545497894287,7.501081943511963,5.63478946685791
Congo,COG,1,0.011111111380159855,0,4.681818008422852,7.420578956604004,5.4806389808654785
Colombia,COL,0,0.04444444552063942,25,7.318181991577148,8.809863090515137,4.2626800537109375
Costa Rica,CRI,0,0.1111111119389534,20,7.045454502105713,8.794824600219727,4.357990264892578
Dominican Re,DOM,0,0.21111111342906952,25,6.181818008422852,8.364042282104492,4.867534637451172
Algeria,DZA,1,0.31111112236976624,0,6.5,8.389359474182129,4.359269618988037
Ecuador,ECU,0,0.02222222276031971,30.000001907348633,6.545454502105713,8.470101356506348,4.2626800537109375
Egypt,EGY,1,0.30000001192092896,0,6.7727274894714355,7.951559543609619,4.216562271118164
Ethiopia,ETH,1,0.08888889104127884,0,5.7272725105285645,6.10924768447876,3.25809645652771
Gabon,GAB,1,0.011111111380159855,0,7.818181991577148,8.9078826904296875,5.63478946685791
Ghana,GHA,1,0.08888889104127884,0,6.2727274894714355,7.365180015563965,6.504288196563721
Guinea,GIN,1,0.12222222238779068,0,6.545454502105713,7.489970684051514,6.18001651763916
Gambia,GMB,1,0.14755555987358093,0,8.272727012634277,7.272398471832275,7.293017864227295
Guatemala,GTM,0,0.17000000178813934,20,5.136363506317139,8.294049263000488,4.2626800537109375
Guyana,GUY,0,0.0555555559694767,2,5.886363506317139,7.9047040939331055,3.4713451862335205
Hong Kong,HKG,0,0.24611110985279083,0,8.136363983154297,10.049750328063965,2.7013611793518066
Honduras,HND,0,0.1666666716337204,20,5.318181991577148,7.687080383300781,4.357990264892578
Haiti,HTI,0,0.21111111342906952,0,3.7272727489471436,7.146772384643555,4.867534637451172
Indonesia,IDN,0,0.05559999868273735,0,7.590909004211426,8.070905685424805,5.135798454284668
India,IND,0,0.22220000624656677,0,8.272727012634277,7.326000213623047,3.8842406272888184
Jamaica,JAM,0,0.2016666680574417,10,7.090909004211426,8.188689231872559,4.867534637451172
Kenya,KEN,1,0.011111111380159855,0,6.045454502105713,7.056175231933594,4.976733684539795
Sri Lanka,LKA,0,0.07777778059244156,0,6.045454502105713,7.731930732727051,4.245634078979492
Morocco,MAR,1,0.35555556416511536,1,7.090909004211426,8.042378425598145,4.359269618988037
Madagascar,MDG,1,0.2222222238779068,0,4.454545497894287,6.835184574127197,6.28420877456665
Mexico,MEX,0,0.25555557012557983,15.000000953674316,7.5,8.943767547607422,4.2626800537109375
Mali,MLI,1,0.18888889253139496,0,4,6.56526517868042,7.9861650466918945
Malta,MLT,0,0.39444443583488464,100,7.2272725105285645,9.42706298828125,2.7911651134490967
Malaysia,MYS,0,0.025555554777383804,0,7.954545497894287,8.894258499145508,2.8735647201538086
Niger,NER,1,0.17777778208255768,0,5,6.733401775360107,5.991464614868164
Nigeria,NGA,1,0.1111111119389534,0,5.545454502105713,6.8134446144104,7.602900505065918
Nicaragua,NIC,0,0.14444445073604584,20,5.2272725105285645,7.544332027435303,5.0955891609191895
New Zealand,NZL,0,0.4555555582046509,91.69999694824219,9.727272987365723,9.756147384643555,2.1459312438964844
Pakistan,PAK,0,0.3333333432674408,0,6.045454502105713,7.352441310882568,3.610647678375244
Panama,PAN,0,0.10000000149011612,20,5.909090995788574,8.836374282836914,5.0955891609191895
Peru,PER,0,0.1111111119389534,30.000001907348633,5.7727274894714355,8.396154403686523,4.2626800537109375
Paraguay,PRY,0,0.25555557012557983,25,6.954545497894287,8.20794677734375,4.357990264892578
Sudan,SDN,1,0.1666666716337204,0,4,7.3065314292907715,4.479607105255127
Senegal,SEN,1,0.15555556118488312,0,6,7.402451515197754,5.103882789611816
Singapore,SGP,0,0.01355555560439825,0,9.318181991577148,10.14643383026123,2.8735647201538086
Sierra Leone,SLE,1,0.09222222119569778,0,5.818181991577148,6.253829002380371,6.18001651763916
El Salvador,SLV,0,0.15000000596046448,20,5,7.948031902313232,4.357990264892578
Togo,TGO,1,0.08888889104127884,0,6.909090995788574,7.2225661277771,6.504288196563721
Trinidad and Tobago,TTO,0,0.12222222238779068,40,7.454545497894287,8.768730163574219,4.442651271820068
Tunisia,TUN,1,0.3777777850627899,0,6.454545497894287,8.4826021194458,4.143134593963623
Tanzania,TZA,1,0.06666667014360428,0,6.636363506317139,6.253829002380371,4.976733684539795
Uganda,UGA,1,0.011111111380159855,0,4.454545497894287,6.966024398803711,5.63478946685791
Uruguary,URY,0,0.36666667461395264,90,7,9.031213760375977,4.2626800537109375
USA,USA,0,0.42222222685813904,83.600006103515625,10,10.215740203857422,2.70805025100708
Venezuela,VEN,0,0.08888889104127884,20,7.136363506317139,9.071078300476074,4.357990264892578
Vietnam,VNM,0,0.17777778208255768,0,6.409090995788574,7.279318809509277,4.9416422843933105
South Africa,ZAF,1,0.3222222328186035,16,6.863636493682861,8.885993957519531,2.740839958190918
Zaire,ZAR,1,0,0,3.5,6.866933345794678,5.4806389808654785
